waya	w a y a
kyetaagisa	k y e t a a g i s a
zinnaffe	z i n n a f f e
bulungi	b u l u n g i
omukazi	o m u k a z i
bomu	b o m u
e	e
yaleero	y a l e e r o
zeetaaga	z e e t a a g a
yazikidde	y a z i k i d d e
gwokubaka	g w o k u b a k a
bessomero	b e s s o m e r o
gwensiri	g w e n s i r i
abekisa	a b e k i s a
bateekateeka	b a t e e k a t e e k a
emisolo	e m i s o l o
bweru	b w e r u
ekitone	e k i t o n e
abawagizi	a b a w a g i z i
okulonda	o k u l o n d a
yange	y a n g e
tosaanye	t o s a a n y e
baatambulanga	b a a t a m b u l a n g a
vision	v i s i o n
otya	o t y a
tombuulira	t o m b u u l i r a
ng’erinnya	n g ’ e r i n n y a
maanyi	m a a n y i
ebyenkizo	e b y e n k i z o
omwenyi	o m w e n y i
njagala	n j a g a l a
nabazzukulu	n a b a z z u k u l u
ebiwuka	e b i w u k a
ebibuuzo	e b i b u u z o
eziziyiza	e z i z i y i z a
yansobera	y a n s o b e r a
wotuukira	w o t u u k i r a
ebiragiro	e b i r a g i r o
tetuyina	t e t u y i n a
gobwanannyini	g o b w a n a n n y i n i
zirabika	z i r a b i k a
nsi	n s i
akabanje	a k a b a n j e
nnewuunya	n n e w u u n y a
woofiisi	w o o f i i s i
essasi	e s s a s i
nokuzaala	n o k u z a a l a
omukambwe	o m u k a m b w e
obusookera	o b u s o o k e r a
bakenuzi	b a k e n u z i
abakugu	a b a k u g u
okuvaamu	o k u v a a m u
zokka	z o k k a
okukakasa	o k u k a k a s a
olwobuyambi	o l w o b u y a m b i
yekinnansi	y e k i n n a n s i
noyo	n o y o
musango	m u s a n g o
giremesezza	g i r e m e s e z z a
mutwe	m u t w e
ezivujjiriddwa	e z i v u j j i r i d d w a
kukakibwa	k u k a k i b w a
kusenga	k u s e n g a
nagwo	n a g w o
zino	z i n o
gwe	g w e
bwo	b w o
akadde	a k a d d e
mpaka	m p a k a
kiriko	k i r i k o
gwenkaka	g w e n k a k a
mubi	m u b i
bakwenyumirizaamu	b a k w e n y u m i r i z a a m u
mawanga	m a w a n g a
byo	b y o
gw’abaana	g w ’ a b a a n a
yagenda	y a g e n d a
ekyomukisa	e k y o m u k i s a
balagajjalirwa	b a l a g a j j a l i r w a
kusasula	k u s a s u l a
ziyambye	z i y a m b y e
ensa	e n s a
njeru	n j e r u
kunaaba	k u n a a b a
nobubbi	n o b u b b i
obuzibu	o b u z i b u
sirikanga	s i r i k a n g a
ebiri	e b i r i
abalala	a b a l a l a
awamu	a w a m u
bino	b i n o
kutambuza	k u t a m b u z a
zino	z i n o
egimenya	e g i m e n y a
kuziteeka	k u z i t e e k a
twebuuzaako	t w e b u u z a a k o
lunaku	l u n a k u
baagambiddwa	b a a g a m b i d d w a
ebitongole	e b i t o n g o l e
nggaali	n g g a a l i
zemipiira	z e m i p i i r a
nsoma	n s o m a
gamala	g a m a l a
nokulunda	n o k u l u n d a
baasiima	b a a s i i m a
entangawuuzi	e n t a n g a w u u z i
kusooka	k u s o o k a
etuweereddwa	e t u w e e r e d d w a
zobukaba	z o b u k a b a
yeriwa	y e r i w a
amawagala	a m a w a g a l a
basonze	b a s o n z e
yinginiya	y i n g i n i y a
okusobola	o k u s o b o l a
tebyawera	t e b y a w e r a
wo	w o
otera	o t e r a
zettaka	z e t t a k a
wabula	w a b u l a
bisobola	b i s o b o l a
entebe	e n t e b e
balwadde	b a l w a d d e
abasenga	a b a s e n g a
bataano	b a t a a n o
kizze	k i z z e
omulambo	o m u l a m b o
kye	k y e
tumumma	t u m u m m a
byalo	b y a l o
kkojja	k k o j j a
abantu	a b a n t u
muleese	m u l e e s e
g’ekisajja	g ’ e k i s a j j a
zo	z o
weggwannga	w e g g w a n n g a
zaali	z a a l i
eweereddwa	e w e e r e d d w a
ebola	e b o l a
maama	m a a m a
okulima	o k u l i m a
kabamba	k a b a m b a
eyo	e y o
okukyuka	o k u k y u k a
teyebalirira	t e y e b a l i r i r a
kwessomero	k w e s s o m e r o
okuyita	o k u y i t a
ko	k o
njuba	n j u b a
amaanyi	a m a a n y i
national	n a t i o n a l
obumu	o b u m u
mutukoledde	m u t u k o l e d d e
omukazi	o m u k a z i
tatiddeemu	t a t i d d e e m u
obukodyo	o b u k o d y o
kubuuza	k u b u u z a
abakyala	a b a k y a l a
okumeggana	o k u m e g g a n a
ekyokuddamu	e k y o k u d d a m u
obulwadde	o b u l w a d d e
ntobazi	n t o b a z i
naye	n a y e
baagala	b a a g a l a
tewaaliwo	t e w a a l i w o
kennyini	k e n n y i n i
ateeberezebwa	a t e e b e r e z e b w a
gyamawulire	g y a m a w u l i r e
ebiyonjo	e b i y o n j o
ziteeka	z i t e e k a
zaanise	z a a n i s e
ebizimbe	e b i z i m b e
omungi	o m u n g i
ogwokuva	o g w o k u v a
ennyingiko	e n n y i n g i k o
gukaawa	g u k a a w a
uganda	u g a n d a
bannamateeka	b a n n a m a t e e k a
yabayizi	y a b a y i z i
kkubo	k k u b o
nekkiriza	n e k k i r i z a
bayinza	b a y i n z a
kino	k i n o
ebiyenje	e b i y e n j e
alukweka	a l u k w e k a
kye	k y e
omuzannyo	o m u z a n n y o
akikkaatirizza	a k i k k a a t i r i z z a
zempapula	z e m p a p u l a
bi	b i
bukadde	b u k a d d e
tewali	t e w a l i
minene	m i n e n e
okwegugunga	o k w e g u g u n g a
lugogo	l u g o g o
omubi	o m u b i
etuulako	e t u u l a k o
wakati	w a k a t i
eri	e r i
ekikubo	e k i k u b o
kirwadde	k i r w a d d e
emalirizza	e m a l i r i z z a
ebyuuma	e b y u u m a
ngabakazi	n g a b a k a z i
mangi	m a n g i
yasazizzaamu	y a s a z i z z a a m u
bigambo	b i g a m b o
weesalirawo	w e e s a l i r a w o
tubeebaza	t u b e e b a z a
okutandikibwako	o k u t a n d i k i b w a k o
n’oluswayiri	n ’ o l u s w a y i r i
eryobwebange	e r y o b w e b a n g e
zijja	z i j j a
yandiddidde	y a n d i d d i d d e
banka	b a n k a
institute	i n s t i t u t e
mukazi	m u k a z i
ekyali	e k y a l i
byomu	b y o m u
dipulooma	d i p u l o o m a
kiba	k i b a
eyokuweerezaamu	e y o k u w e e r e z a a m u
abakulisitaayo	a b a k u l i s i t a a y o
luno	l u n o
baawangula	b a a w a n g u l a
baamukutte	b a a m u k u t t e
olugezigezi	o l u g e z i g e z i
bannamawulire	b a n n a m a w u l i r e
ebyo	e b y o
bintu	b i n t u
gebyensoma	g e b y e n s o m a
bataasa	b a t a a s a
kyandibadde	k y a n d i b a d d e
namalirirdde	n a m a l i r i r d d e
nendwadde	n e n d w a d d e
olugero	o l u g e r o
yusuf	y u s u f
ekyakawuka	e k y a k a w u k a
mulamu	m u l a m u
yaliko	y a l i k o
